id,id_local_vet,name_pet,breed,price,date,is_online,is_cat,is_dog,service_name,sale_by_publisher,name_client,is_suscribed
0,59,Dalton,boxer,20,2021-06-18,False,0,1,Cortar uñas,0,Derek Duke,1
1,49,Lance,collie,1000,2021-06-10,True,0,1,Operación de pata,0,Kevin Watkins,1
2,47,Paula,Ocicat,80,2021-05-02,0,1,0,castración,0,Jonathan Brown,0
3,49,Reginald,Devon Rex,20,2021-05-06,True,1,0,Cortar uñas,0,Norman Miller,1
4,14,Melissa,shih-tzu,20,2021-06-25,False,0,1,servicio general,0,Mrs. Kara Gonzales,1
5,37,Karen,cocker_spaniel,20,2021-06-29,0,0,1,servicio general,0,Kristi Hunter,0
6,48,Teresa,Dilute Calico,40,2021-05-30,0,1,0,Baño médico,1,Joanna Thomas,0
7,5,Regina,Pixiebob,30,2021-06-05,False,1,0,Desparasitación,1,Rachael Williams,1
8,49,Cody,yorkshire_terrier,1000,2021-06-15,True,0,1,Operación de pata,0,Debbie Porter,1
9,27,Sally,greater_swiss_mountain_dog,40,2021-06-13,True,0,1,Baño médico,0,Rebecca Williams,1
10,73,Alexa,malinois,1000,2021-05-15,True,0,1,Operación de pata,1,Mary Cook,1
11,81,Kevin,Japanese Bobtail,20,2021-05-23,True,1,0,Cortar uñas,1,Pamela Johnson,1
12,79,Luis,Extra-Toes Cat - Hemingway Polydactyl,30,2021-06-28,False,1,0,Desparasitación,1,Jonathan Walker,1
13,49,Elizabeth,LaPerm,30,2021-06-01,True,1,0,Peluquería,1,Robert Snyder,1
14,56,Carlos,afghan_hound,30,2021-06-18,0,0,1,Peluquería,0,Angela Payne,0
15,84,Maria,greater_swiss_mountain_dog,20,2021-05-29,0,0,1,Cortar uñas,0,Mr. Levi Kelly,0
16,29,Rodney,airedale,1000,2021-05-06,False,0,1,Operación de pata,0,Robert Hickman,1
17,82,Mark,Scottish Fold,20,2021-06-15,False,1,0,Cortar uñas,0,Karen Young,1
18,77,Kristie,Dilute Tortoiseshell,30,2021-05-18,False,1,0,Peluquería,1,Jessica Davis,1
19,37,Leah,great_pyrenees,40,2021-06-13,0,0,1,Baño médico,0,Phyllis Burgess,0
20,85,Mark,miniature_poodle,80,2021-06-28,0,0,1,castración,0,Joseph Foster,0
21,59,Bonnie,Abyssinian,30,2021-06-12,False,1,0,Peluquería,1,Patricia Rodriguez,1
22,9,Robert,Applehead Siamese,50,2021-06-11,True,1,0,Vacunación,0,Janice Davis,1
23,9,Marcus,Tabby,80,2021-06-12,True,1,0,castración,1,Christopher Boyd,1
24,59,Sara,basset,20,2021-05-13,False,0,1,Cortar uñas,0,Amanda Barnes,1
25,9,Deborah,Javanese,20,2021-05-14,True,1,0,servicio general,0,Phillip Martin,1
26,56,Kevin,Norwegian Forest Cat,20,2021-05-08,0,1,0,Cortar uñas,0,John Mason,0
27,88,Dominique,Oriental Short Hair,50,2021-06-12,0,1,0,Vacunación,1,Christine Allen,0
28,90,Kristine,Canadian Hairless,40,2021-05-26,0,1,0,Baño médico,0,Dr. Micheal Bishop,0
29,12,David,Havana,50,2021-05-11,True,1,0,Vacunación,1,Katelyn Davis,1
30,56,Harry,toy_poodle,20,2021-06-29,0,0,1,servicio general,1,Brad Davis,0
31,65,Leonard,LaPerm,30,2021-06-16,True,1,0,Desparasitación,1,Katherine May,1
32,36,Michael,Oriental Long Hair,80,2021-06-26,True,1,0,castración,0,Sean Johnson,1
33,56,Helen,Manx,30,2021-06-10,0,1,0,Desparasitación,0,Gabriel Thompson,0
34,9,Dana,Havana,30,2021-05-24,True,1,0,Desparasitación,0,Travis Clark,1
35,48,Barbara,Chausie,50,2021-05-08,0,1,0,Vacunación,1,Brian Peterson,0
36,93,Phyllis,Dilute Tortoiseshell,30,2021-05-24,True,1,0,Desparasitación,1,Bryan Sexton,1
37,52,Julie,borzoi,40,2021-05-06,0,0,1,Baño médico,0,Tracy Webb,0
38,22,Patricia,malamute,20,2021-05-25,True,0,1,Cortar uñas,1,Tina Tucker,1
39,69,Jose,pomeranian,50,2021-05-13,True,0,1,Vacunación,0,Mrs. Jaime Anderson DDS,1
40,91,Kim,vizsla,50,2021-06-29,0,0,1,Vacunación,0,Sonya Barnes,0
41,10,Keith,pomeranian,20,2021-05-27,0,0,1,servicio general,0,Victoria David,0
42,33,Lance,basset,80,2021-05-26,0,0,1,castración,0,Jennifer Alvarado,0
43,98,Christopher,Chausie,40,2021-06-16,0,1,0,Baño médico,0,Robert Davidson,0
44,77,Kevin,labrador_retriever,1000,2021-06-29,False,0,1,Operación de pata,1,Justin Hall,1
45,91,Ronald,labrador_retriever,40,2021-05-16,0,0,1,Baño médico,1,Emily Hunt,0
46,99,Kim,miniature_schnauzer,30,2021-05-13,False,0,1,Peluquería,0,Alicia Hernandez,1
47,14,Teresa,Tabby,40,2021-05-27,False,1,0,Baño médico,0,William Foster,1
48,69,Kristie,Tabby,1000,2021-05-20,True,1,0,Operación de pata,1,David Collins,1
49,8,Nicholas,lhasa,20,2021-06-04,0,0,1,servicio general,0,Cody Perez,0
50,60,Lisa,Dilute Tortoiseshell,20,2021-05-11,True,1,0,Cortar uñas,1,Michael Estrada,1
51,53,Cassandra,Exotic Shorthair,20,2021-05-05,True,1,0,Cortar uñas,0,Raymond Buckley,1
